Model,WER,CER,Entity Accuracy,Avg Latency (s),RTF,Total Cost ($)
Deepgram,0.06299212598425197,0.055248618784530384,0.95,0.2890172615407162,0.09438719691967123,0.00042389198359305046
Whisper,0.08661417322834646,0.06077348066298342,0.95,1.464241775155269,0.47781788169742934,0.0
Indicwhisper,0.08661417322834646,0.0925414364640884,0.95,2.4024261022888913,0.7833651581775154,0.0
